time,open,high,low,close,EMA,EMA,EMA,EMA,MA,MA,MA,MA,Basis,Upper,Lower,Volume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D,OnBalanceVolume,Accumulation/Distribution,DI+,DI-,ADX,Aroon Up,Aroon Down
2001-06-11,46.89999,48.47,45.49001,46.05,59.25320007443628,50.57365901446857,46.867186713421475,46.99221560806976,63.15384900000014,48.94457379999982,44.910198200000124,47.35699799999996,47.35699799999996,51.201904926342834,43.51209107365709,48870096,47.66951315983618,51.977376077740466,NaN,NaN,NaN,NaN,NaN,NaN,-0.17973475822576174,0.2523346516926992,0.43206940991846093,25.03176620076236,41.762007623888174,-136135898,-691687648.7115166,21.69893944243182,21.674357578557142,12.682682893317125,7.142857142857143,42.857142857142854
2001-06-12,44.87,46.8,44.23,45.8,59.11933738712845,50.47913111319196,46.825336254071615,46.87867126444407,62.89003650000015,48.736948799999816,45.04319840000013,47.40599749999997,47.40599749999997,51.143816703787806,43.66817829621213,78444368,46.94845398173393,50.779962991282915,NaN,NaN,NaN,NaN,NaN,NaN,-0.24083801327110926,0.13102189332957437,0.37185990660068363,27.001569858712678,31.194551240494206,-214580266,-674289481.4897268,19.907885730046853,23.932125701483834,10.802806100744778,0,35.714285714285715
2001-06-13,46.274,46.75,44.52,44.55,58.97436885591325,50.36172257629707,46.73610738136293,46.656893048782734,62.620911500000155,48.51932379999982,45.186198600000125,47.37599799999997,47.37599799999997,51.194521654004966,43.55747434599497,68526688,43.41255215539333,49.88691867744018,NaN,NaN,NaN,NaN,NaN,NaN,-0.34967347870390353,-0.06523194177919578,0.28444153692470775,7.912457912457887,19.981931323977644,-283106954,-740972402.0995926,18.4823329081961,22.21840733936035,9.87544172507116,0,28.571428571428573
2001-06-14,44.02499,44.39999,42,42.25,58.80795722550615,50.2010944064694,46.560181601701636,46.23718894889866,62.339974000000154,48.27807379999983,45.33799860000013,47.13099849999997,47.13099849999997,51.55660343629747,42.705393563702465,91025504,37.77505297921165,48.37636658611916,NaN,NaN,NaN,NaN,NaN,NaN,-0.5489328043598031,-0.40172446852504606,0.14720833583475698,3.1172069825436397,12.67707825123807,-374132458,-813034180.4174023,16.984602767447896,28.426162649982217,10.308783230526833,7.142857142857143,100
2001-06-15,41.8,43.10001,41.28101,42.60001,58.6466841187847,50.05057788356902,46.404880754576084,45.89079095376545,62.05883345000015,48.02641769999982,45.50899880000013,46.86599949999997,46.86599949999997,51.69225922614266,42.039739773857285,84583872,39.07171686100502,47.172114072224716,NaN,NaN,NaN,NaN,NaN,NaN,-0.6240539744986923,-0.6328591322886084,-0.008805157789916113,16.067730539651556,9.03246514488436,-289548586,-774950512.9253738,15.989239108848865,29.076695064169222,11.004272640134618,0,100
2001-06-18,42.64,43.17,41.39999,42.03,58.48134397829928,49.89175455914191,46.23331680341624,45.523096577216364,61.77453035000015,47.77546769999983,45.60339880000012,46.56549999999997,46.56549999999997,51.793626876823815,41.33737312317613,63415392,37.69411679224061,46.45706054123597,NaN,NaN,NaN,NaN,NaN,NaN,-0.6747209596692065,-0.8522063573764243,-0.17748539770721775,9.124010232671452,9.436315918288884,-352963978,-793222283.0092039,15.292906049296187,27.39434995501064,12.999316097862396,50,92.85714285714286
2001-06-19,43.32001,43.56,41.25999,41.82001,58.31555956060476,49.73191803321831,46.060245948380306,45.17042166510052,61.47425540000015,47.54866779999983,45.71379900000013,46.10400049999997,46.10400049999997,51.29660779346906,40.91139320653088,73378688,37.174118211323474,45.99556894017446,NaN,NaN,37.174118211323474,NaN,NaN,NaN,-0.6828910274952346,-1.031099182076261,-0.3482081545810264,6.80460071785976,10.665447163394257,-426342666,-830867619.542245,15.417509482755875,25.34244496478304,13.829548810970724,42.857142857142854,100
2001-06-20,41.3,42.97,41.28,42.77,58.16087737592213,49.594058270184284,45.93121669550265,44.94181007794809,61.17560540000016,47.320899099999835,45.82819900000013,45.69750099999997,45.69750099999997,50.588821061104724,40.80618093889521,83583680,41.13072060930238,45.75208117968962,NaN,NaN,NaN,NaN,NaN,NaN,-0.588412901914481,-1.0837242819741277,-0.4953113800596467,18.347586032597757,11.425398994376323,-342758986,-767067059.0688719,14.554838288625588,23.924434015323083,14.659781524079053,35.714285714285715,92.85714285714286
2001-06-21,42.67,44.23,42.3,43.35001,58.013505561236336,49.47041374998261,45.829992903522154,44.790210070524466,60.89477735000016,47.08439919999982,45.89919920000013,45.432501999999964,45.432501999999964,50.228627373690124,40.636376626309804,67204128,43.471458204988046,45.395844412847445,NaN,NaN,NaN,NaN,NaN,NaN,-0.45681972402507554,-1.0663360350909912,-0.6095163110659156,25.39507801925143,16.849088256569647,-275554858,-761146828.0623641,17.821089891559037,22.384063194066986,14.772823782970983,28.571428571428573,85.71428571428571
2001-06-22,43.621,44.2,42.59,43.25,57.86660500838821,49.34723724008197,45.72881671122717,44.64352339714118,60.63071485000017,46.84939919999982,45.94419920000013,45.10000249999997,45.10000249999997,49.5183243669676,40.681680633032336,51868608,43.15284332333576,45.060202583830566,NaN,NaN,NaN,NaN,NaN,NaN,-0.35121798541213267,-1.0485387928310814,-0.6973208074189488,24.179892636955913,22.640852229601702,-327423466,-770489620.8077059,16.846659842083366,21.160136714913076,15.258201276475534,21.428571428571427,78.57142857142857
2001-06-25,43.61,43.8,42.64999,43.36,57.72226067994654,49.22867808681302,45.635921938237864,44.521283073603925,60.35626485000017,46.63999919999982,45.95539920000014,44.81850199999997,44.81850199999997,48.91529197071049,40.72171202928944,39194400,43.64211544715118,44.34902601827903,NaN,NaN,NaN,NaN,NaN,NaN,-0.253240150625321,-1.0138709957006,-0.760630845075279,25.51646290045466,25.030477852220667,-288229066,-761287196.529656,16.16667754284902,20.306049403220772,15.645303312730878,14.285714285714286,71.42857142857143
2001-06-26,42.53999,43.89,42.481,43.50999,57.58084505129035,49.115436738559296,45.552552058306965,44.42496944754641,60.09943980000016,46.42359919999983,46.02059900000014,44.68800149999997,44.68800149999997,48.77691674296362,40.59908625703632,55150800,44.345505577774,43.76954591298108,NaN,NaN,NaN,NaN,NaN,NaN,-0.16204773715282172,-0.9631905165163062,-0.8011427793634844,27.338937207929035,25.6784309151132,-233078266,-735884949.4153905,15.34922184831831,19.885737383561374,15.887934488521712,7.142857142857143,64.28571428571429
2001-06-27,43.681,44.14999,43,43.78999,57.44362261296906,49.009982347696734,45.48343197758904,44.364495214446755,59.85448350000016,46.24599909999983,46.07139880000013,44.65600149999997,44.65600149999997,48.76247234588941,40.54953065411053,53286496,45.70776468383593,43.04884301817124,NaN,NaN,NaN,NaN,NaN,NaN,-0.07122247726244102,-0.8901708759415357,-0.8189483986790946,33.68837058805515,28.847923565479615,-179791770,-715960723.6264356,15.658102713381764,19.039547508788253,15.622743501374861,0,57.142857142857146
2001-06-28,44.40199,46.36,44.35001,44.35001,57.31333791035245,48.917705667544325,45.43898405689927,44.36311567021373,59.619671050000164,46.07449919999982,46.047399000000134,44.63700199999997,44.63700199999997,48.74544329666636,40.528560703333575,89940624,48.42679344502277,42.83019467372527,NaN,NaN,NaN,NaN,NaN,NaN,0.03264400032527193,-0.7781433982725048,-0.8107873985977767,42.8573608080987,34.62822286802763,-89851146,-805901347.6264356,22.19202439236321,17.27080675626959,15.631358804291313,0,50
2001-06-29,45.09,46.52,44.7,45.7,57.197782309254414,48.853988723632554,45.449219976236556,44.490437987336236,59.38098355000017,45.91549909999983,45.995399000000134,44.61950199999997,44.61950199999997,48.706645888848726,40.53235811115121,59719600,54.36053130650125,43.30812454134421,NaN,NaN,NaN,NaN,54.36053130650125,NaN,0.1895792457350256,-0.5738133414289948,-0.7633925871640204,80.14444017249075,52.2300571895482,-30131546,-799995013.5605016,21.037754728633505,15.92553737458761,16.61520522477775,0,42.857142857142854
2001-07-02,45.65199,46.48,45.19,45.45,57.080888952943425,48.7865830063329,45.44925056540375,44.58182484568517,59.14135855000017,45.76399899999983,45.93639920000014,44.60050199999997,44.60050199999997,48.66844809995678,40.532555900043164,50873008,53.14117805628112,43.750461975240434,NaN,NaN,NaN,NaN,NaN,NaN,0.26901044843458544,-0.4271295266207886,-0.6961399750553741,76.32062600978873,66.44080899679273,-81004554,-830361072.5992608,20.038494979277505,15.169099784618437,16.9474300743258,0,35.714285714285715
2001-07-03,45.25,45.69,44.8,45.64,56.96704926186936,48.724274431950064,45.45673093538792,44.68260343181039,58.91268355000015,45.63249909999983,45.94619940000014,44.49000149999997,44.49000149999997,48.31146650705431,40.66853649294563,24758304,53.985940643272585,44.50570401008895,NaN,NaN,NaN,NaN,NaN,NaN,0.323166346619445,-0.2921820417810679,-0.6153483884005129,83.26999378328173,79.91168665518707,-56246250,-808384600.509373,19.355422721807596,16.145759389458433,16.937546288801443,0,28.571428571428573
2001-07-05,44.87,45.189,43.45,43.45,56.832551259263695,48.619833354089664,45.37803560458839,44.565212628780834,58.68087105000015,45.502999199999834,45.929199400000144,44.28850149999998,44.28850149999998,47.87590839330554,40.701094606694426,44376304,44.11414104955548,44.958496015113504,NaN,NaN,NaN,NaN,NaN,NaN,0.2060186305674565,-0.3578251001911923,-0.5638437307586488,41.635091948494406,67.07523724718828,-100622554,-852760904.509373,17.751865922352337,19.915181041701924,15.548086091526235,78.57142857142857,21.428571428571427
2001-07-06,43.00999,43.11,41.49001,41.64999,56.68148099797749,48.48181665400868,45.231837737741785,44.287572378420755,58.42162100000015,45.348699099999834,45.86019900000015,43.936000999999976,43.936000999999976,47.0780618829498,40.793940117050155,53427696,37.96865354376983,44.87970577816814,NaN,NaN,NaN,NaN,NaN,NaN,0.01206089724707926,-0.5487676091997997,-0.560828506446879,7.414434573318311,44.10650676836482,-154050250,-895636235.6107252,16.439192780414917,25.837104482499758,15.061590149724035,71.42857142857143,14.285714285714286
2001-07-09,41.89799,42.69,41.5,42.00999,56.535496012922984,48.353661670760985,45.105490767634265,44.07065977095211,58.15823345000015,45.21579899999983,45.82139880000014,43.668999999999976,43.668999999999976,46.49710902197363,40.84089097802632,45536704,39.77567261928355,45.02838833724264,NaN,NaN,NaN,NaN,NaN,NaN,-0.08205297916089405,-0.6633947303979966,-0.5813417512371025,14.258528025612115,21.10268484914161,-108513546,-902142244.3620527,15.68102582873126,24.645510770601298,14.624494635371844,64.28571428571429,7.142857142857143
2001-07-10,42.75999,42.88,40.39999,40.5,56.37593883866504,48.19814361787463,44.92488328655057,43.73059693562334,57.89878035000013,45.04629899999983,45.728399000000145,43.39149999999998,43.39149999999998,46.31807746184299,40.46492253815697,58598400,35.150393236298214,44.883836553312264,NaN,NaN,35.150393236298214,NaN,NaN,NaN,-0.22780443326127675,-0.8660972928136985,-0.6382928595524218,1.634147656621435,7.769036751850621,-167111946,-956014513.4319355,14.210155627472137,26.49425418159941,15.04085668981119,57.142857142857146,100
2001-07-11,40.42,41.10001,39.87,41,56.222944422359916,48.05560612049097,44.77096629492113,43.47054008461159,57.63909285000014,44.87229909999983,45.625399200000146,43.151499999999984,43.151499999999984,46.0356178270252,40.26738217297477,77386496,37.73243314521861,44.64110173444914,NaN,NaN,NaN,NaN,NaN,NaN,-0.26948871012597253,-0.9751537472098875,-0.7056650370839149,16.992481203007543,10.961718961747032,-89725450,-891212343.5186499,13.532189726387376,27.285953832035393,15.708392426985125,50,100
2001-07-12,42.63,43.83,42.3,43.60001,56.097343084824,47.96737649434264,44.72504644021834,43.48287055274382,57.40615540000015,44.756999199999825,45.53639940000014,43.10400049999998,43.10400049999998,45.92502560165865,40.2829753983413,70337008,49.08493547075062,45.04206439628932,NaN,NaN,NaN,NaN,49.08493547075062,NaN,-0.10912858626627675,-0.8420757699167609,-0.7329471836504842,56.09037593984957,24.905668266492853,-19388442,-842021490.3812906,22.299741140862007,24.40135492018448,15.219171925310928,42.857142857142854,92.85714285714286
2001-07-13,43.38,44.42999,42.89999,43.14999,55.9685137008954,47.871982702375455,44.663279520994095,43.451167642958694,57.177217850000154,44.65859899999983,45.41979920000014,43.14899999999999,43.14899999999999,45.94267901524218,40.355320984757796,62472800,47.471670518751786,45.35055205310475,NaN,NaN,NaN,NaN,NaN,NaN,-0.02493435200954386,-0.764115123662414,-0.7391807716528701,49.32315789473687,40.80200501253133,-81861242,-884078342.6688721,23.280527795161056,22.98650947117008,14.453904508021443,35.714285714285715,85.71428571428571
2001-07-16,43.37,43.86,41.89999,42.35001,55.833006201384,47.76263670826901,44.5725630691904,43.34629548648644,56.94146790000014,44.56709909999983,45.33079940000014,43.136499999999984,43.136499999999984,45.94210446966535,40.330895530334615,53371392,44.661560242897146,45.42336953851517,NaN,NaN,NaN,NaN,NaN,NaN,-0.01516982185927318,-0.7581430489769616,-0.7429732271176884,37.29338345864659,47.568972431077675,-135232634,-912941498.6620765,21.55620376611475,25.062883199229404,14.180530020745122,28.571428571428573,78.57142857142857
2001-07-17,41.82899,43.39999,41.53999,43.3,55.708299672017,47.674267664540906,44.522658635104506,43.34188639253535,56.695702300000136,44.490099099999824,45.23279940000014,43.19999999999998,43.19999999999998,45.959667632198816,40.44033236780115,59775504,48.5560264705726,45.72412103085792,NaN,NaN,NaN,NaN,NaN,NaN,0.059145311138014134,-0.6690415881951708,-0.7281868993331849,51.578947368421005,46.06516290726815,-75457130,-859592825.463109,20.039332742260726,24.66121844494268,13.99943147063303,21.428571428571427,71.42857142857143
2001-07-18,42.27901,42.85001,41.14,41.64999,55.56841599368847,47.55497503752029,44.41000496313962,43.18075340277008,56.46051475000014,44.39479909999983,45.12179920000015,43.191498999999986,43.191498999999986,45.96910734031747,40.4138906596825,64711296,42.907829839954346,45.52412568486638,NaN,NaN,NaN,NaN,NaN,NaN,0.003963059321293483,-0.7232330751815681,-0.7271961345028616,26.766766917293285,38.54636591478696,-140168426,-885705383.6229324,18.418438520335222,24.164324792852387,14.267145614445914,14.285714285714286,64.28571428571429
2001-07-19,42.46001,43.35001,41.75,42.64,55.43977503852739,47.45764879915355,44.34059300380081,43.12925307869674,56.239964750000134,44.29969919999982,45.01059920000015,43.18499899999998,43.18499899999998,45.967127149493,40.402870850506964,76495504,46.89905822824955,45.41500174081115,NaN,NaN,NaN,NaN,NaN,NaN,0.038977976527041935,-0.6784736638440592,-0.7174516403711011,41.65413533834588,39.99994987468673,-63672922,-877100171.3024093,19.12373844547244,22.613962997815815,13.97370056035306,7.142857142857143,57.142857142857146
2001-07-20,41.49001,42.14,41.36,41.64999,55.30256324709925,47.34264565461586,44.23507916051451,42.988370880725626,56.03133970000013,44.226199099999825,44.91259900000016,43.099997999999985,43.099997999999985,45.95956810059002,40.24042789940995,49006400,43.615423743413736,44.64749405773347,NaN,NaN,NaN,NaN,NaN,NaN,0.0022421026420136325,-0.714649012068584,-0.7168911147105976,26.92874432677769,31.78321552747229,-112679322,-889667171.4665115,18.178053671080477,23.002388749152946,13.822599653929235,0,50
2001-07-23,42.24001,42.39999,40.55,40.61,55.156368587924135,47.20932593868287,44.092919193435506,42.761859368275566,55.806264700000135,44.15779909999982,44.80939900000015,42.96799799999998,42.96799799999998,46.02462408903859,39.91137191096137,55316608,40.41431673432046,43.738432534736276,NaN,NaN,NaN,NaN,NaN,NaN,-0.08073473888575311,-0.817809538317789,-0.7370747994320359,12.714776632302438,27.099218765808672,-167995930,-941395655.7685454,16.87889635692288,24.487619749028774,14.148521821243506,0,42.857142857142854
2001-07-24,40.381,40.89999,39.31,40.14999,55.007051388044296,47.06953710821391,43.93829451918313,42.51310990463028,55.57763965000013,44.07129899999982,44.70139880000014,42.80749749999998,42.80749749999998,46.09344060818084,39.52155439181912,70420368,39.049123343032726,42.67151701329057,NaN,NaN,39.049123343032726,NaN,NaN,NaN,-0.15114776048811296,-0.9260095000421771,-0.7748617395540641,14.28797414526281,17.97716503478098,-238416298,-937410015.030981,15.831646881906758,27.80704014571534,15.462889272433415,0,100
2001-07-25,40.14101,40.72,39.39999,40.5,54.862702618014005,46.9394472644869,43.80345943999948,42.32138515180834,55.36513965000013,44.00929899999981,44.61499860000014,42.65699799999998,42.65699799999998,46.07357984625954,39.24041615374042,68844880,40.69076778848355,42.426990351785435,NaN,NaN,NaN,NaN,NaN,NaN,-0.15795677585268608,-0.9723077093699217,-0.8143509335172356,23.242232894986106,16.74832789085045,-169571418,-891513254.5149242,14.999590022065767,26.345597841089504,17.01281012476529,0,92.85714285714286
2001-07-26,40.45,41.89,39.98,41.10001,54.72576040290939,46.82381484340795,43.69744181490146,42.20506370877898,55.15751470000013,43.94479909999981,44.53399900000014,42.52249899999998,42.52249899999998,45.96179830948148,39.083199690518484,69152688,43.500139715275665,42.82209650689299,NaN,NaN,NaN,NaN,NaN,NaN,-0.10822866108705154,-0.94963675987605,-0.8414080987889985,34.961201096095834,24.163802712114915,-100418730,-879564683.785207,18.501128302591262,24.351300542448932,16.40010739386634,35.714285714285715,85.71428571428571
2001-07-27,41.64,42.25999,40.89999,41.95,54.59863840885059,46.72730365838997,43.628914684905325,42.1807719269905,54.975702200000136,43.870299199999806,44.42999920000014,42.40249849999998,42.40249849999998,45.744469623480285,39.06052737651967,47484896,47.30792334576729,43.36011441592755,NaN,NaN,NaN,NaN,NaN,NaN,-0.009471183797686855,-0.853247078536107,-0.8437758947384202,51.56260070820458,36.5886782330955,-52933834,-853726615.59556,18.97864366549204,23.015352121231746,15.498881897565285,28.571428571428573,78.57142857142857
2001-07-30,42.13,42.3,41.39999,41.7,54.470293748066005,46.6277530908971,43.55327097177178,42.13498412441998,54.798889700000124,43.793099199999816,44.30599940000014,42.202498499999976,42.202498499999976,45.19127226028679,39.213724739713165,39455200,46.319150903378684,44.15788282071901,NaN,NaN,NaN,NaN,NaN,NaN,0.04466271263735777,-0.787947503941723,-0.8326102165790807,46.67977867144278,44.4011934919144,-92389034,-866877764.4139062,18.43179987564901,22.14934487574243,13.997594661339678,21.428571428571427,71.42857142857143
2001-07-31,41.84,42.78,41.5,41.75999,54.34382306400565,46.5313617425625,43.48294622778073,42.099270398284744,54.63206465000012,43.72569909999981,44.18039940000014,42.01799799999998,42.01799799999998,44.6115508543276,39.42444514567236,55701904,46.60753148032312,44.791818416083615,NaN,NaN,NaN,NaN,NaN,NaN,0.08767066704258752,-0.7230218827758463,-0.8106925498184339,47.85146064738412,48.697946675677166,-36687130,-899951640.2561561,19.470827318539026,20.942425658519532,11.850891345237205,14.285714285714286,64.28571428571429
